Timestamp,Name of your business,One or two sentence description of your business,Please select a category for the products your business sells (you may check more than one):,Business Website,Social Media,Description of the product(s) you wish to sell at the shop,Please check all that apply to your business:,,,,,,
10/25/2017 18:57:10,16sixteen ,"16sixteen the Brand is based as a lifestyle brand that incorporates Fashion, culture, sports, and the good parts of life into an overall feeling.","Clothing, Apparel, Accessories",Www.16sixteenlife.com,@16sixteenlife,"T-shirts $35
Hoodies-65
Hats- $25-35
Jackets $125-$558
","Minority-Owned, 'Made In Baltimore' certified",,,,,,
10/25/2017 19:44:56,The Big Bean Theory,The Big Bean Theory provides Delicious Bean based Cuisine and have beanie bags and clothing items. We provide BEANILISCIOUS options for vegan and vegetarian.,"Clothing, Apparel, Accessories, Food & Beverage",www.bigbeantheory.com,FB/Bigbeantheory /Instagram Bigbeantheory ,"Beanie Bags, TSHIRTS,Soups,Teas,hats Mugs","Woman-Owned, Minority-Owned, 'Made In Baltimore' certified",,,,,,
10/25/2017 20:25:57,Regal Clothes,"We create custom clothing and accessories from vibrant batiks, tribal print and Ankara fabrics. Our Clutch purses and bowties are a unique mélange of vegan leather and bold colors. ","Clothing, Apparel, Accessories",www.RegalClothes.com,IG/ Twitter @regalclothes  Facebook.com/regalclothes,"self tie bow ties, adjustable bow ties, African maxi skirt, African midi Skirt, African knee length skirt, ruffle dress, stretch bodycon dress with African trim, ruffle t-shirts, tribal print hoodies-pullover, tribal print hoodies - front zip, clutches vegan leather and tribal print with tassel, clutches tribal print with tassel, geometric clutches, peplum tops, head wraps, ","Woman-Owned, Minority-Owned, 'Made In Baltimore' certified",,,,,,
10/25/2017 21:49:24,Eco Sevi,"plant based vegan skin, hair + body care products hand-crafted in baltimore",Bath & Beauty Products,www.ecosevi.com,instagram.com/ecosevi  facebook.com/ecosevi,"Vegan hair care kits ($18) and beard care kits ($29), body care kits (scrub, oil and wash - $24), dry shampoos ($9-$14), lip balm ($5) ","Woman-Owned, Minority-Owned, 'Made In Baltimore' certified",,,,,,
10/25/2017 23:17:30,Huckle's Gourmet Foods,Huckle's makes gourmet hot sauces and condiments using locally sourced ingredients.,Food & Beverage,hucklesauce.com,"@hucklesauce (IG, Twitter, Facebook)","We wish to sell a variety of 5-7 hot sauces in 5oz and 12.5oz bottles, with prices ranging from $6-$12 each.","Minority-Owned, 'Made In Baltimore' certified",,,,,,
10/26/2017 6:19:24,jgpottery,Wheel thrown and hand built functional pottery.,Ceramics,etsy.com/shop/jgpottery/,facebook.com/johngazurianpottery/,"Wood fired, soda fired, gas fired mugs, bowls, plates, vases, jars. I would bring about a dozen of each form. Prices range from $24 for mugs to $36 for lidded jars. ",Made In Baltimore' certified,,,,,,
10/26/2017 9:15:10,MADE by Itineris,Up-cycled Art Created by Young Adults on the Autism Spectrum,"Furniture, Home Accessories, Printed Material, Stationary",www.itinerisbaltimore.org,IG @MADEbyItineris FB: Drew Putsel Creative Arts Program,"8x10 nail and string Maryland Plaques, AnnieGrams Cards & Dara's Designs nail and string. Prices vary from $20-$50","Woman-Owned, Minority-Owned, 'Made In Baltimore' certified",,,,,,
10/26/2017 10:01:16,Wanderlust Kids ,Fun & Functional Children’s Clothing ,"Clothing, Apparel, Accessories",Wanderlustkidsco@gmail.com,@world_of_wanderlustt @wanderlustkidsco,Kids clothing ,"Woman-Owned, 'Made In Baltimore' certified",,,,,,
10/26/2017 12:39:27,"Knits, Soy and Metal","Knits, soy and Metal produces handmade quality items focusing on sustainable and vegan friendly scented items.",Scented Items,https://www.knitssoyandmetal.com,@knits_soy_and_metal facebook.com/knitssoyandmetal.com,"Soy Candles, Room Sprays, Reed diffusers","Woman-Owned, Minority-Owned, 'Made In Baltimore' certified",,,,,,
10/26/2017 17:16:55,"Charm City Soaps, LLC",Handcrafted soap. Specializing in Baltimore-themed soaps.,Bath & Beauty Products,https://www.etsy.com/shop/charmcitysoaps,@charmcitysoaps,"Soap!  I will provide whatever quantity you can handle. For events like this I usually restock, as needed. Price is $5.50 per bar.  Each bar is about 3.5"" x 2.5"" x 1.125"".","Woman-Owned, 'Made In Baltimore' certified",,,,,,
10/26/2017 19:53:30,WOOT!Granola,"WOOT!Granola is a small-batch granola company making chunky, crunchy-chewy mixes of dried fruits, nuts, seeds and a bit of grain to create vegan, wheat free sweet, salty and spicy granola!  WOOT!Granola flavors and textures are unique  and provide nutritious and unexpected munching adventures.  WOOT!Granola is handmade in small batches here in Baltimore at B-More Kitchen, using many organic ingredients as well as Maryland Maple Syrup from Steyer Brothers Farm",Food & Beverage,wootgranola.com,"@WOOT!Granola, https://www.facebook.com/wootbygail/","12 oz bags of various Granola Mixes, bags are approximately 9""H x 4""W x 3""D",Woman-Owned,,,,,,
10/26/2017 21:03:23,Stellarium Jewelry ,Handmade crystal jewelry with vintage inspired design,Jewelry,Www.etsy.com/shop/Stellariumjewelry,Www.instagram.com/stellariumjewelry,"A collection of one of a kind pieces made in both sterling and brass, about 40-50 pieces (depending on space allotment) 5 bolo ties, 2 collar clips, 3 bracelets, 10 pairs of earrings, 12 rings, and 8 necklaces. ","Woman-Owned, 'Made In Baltimore' certified",,,,,,
10/27/2017 10:41:40,Taste This Cake,Taste This Cake specializes in cakes and other baked goods for all occasions made from scratch using local and/or high quality ingredients. ,Food & Beverage,www.tastethiscake.com,Instagram & Facebook @tastethiscake,We intend to sell 1/2 dozen cookie packs and cakes that do not require refrigeration. Price range would be $5-$7. ,"Woman-Owned, Minority-Owned, 'Made In Baltimore' certified",,,,,,
10/27/2017 17:42:20,A Childhood Store,"Handmade soy and beeswax crayons, made in a variety of fun shapes and sizes that inspire creative play and happy coloring.",Toys & Games,Achildhoodstore.com,@Achildhoodstore,"Assorted crayons in boxes (bunnies, evergreen trees, cars, fish, etc.) $12 
Tins of crayons $10-$18
Chick and/or  Egg crayons $15
Color Your Own Totebags $25","Woman-Owned, 'Made In Baltimore' certified",,,,,,
10/28/2017 10:44:23,Azellaz,Quality bags built from scratch in Baltimore,"Clothing, Apparel, Accessories",azellaz.com,@azellaz (instagram) ,"Naturally dyed waxed canvas, leather, and naturally dyed felt handbags, ranging from small (7 inches wide x 4.5 inches tall x 1.5 inches deep; $45 in waxed canvas) to large (16.5 inches wide x 12 inches tall x 3.5 inches deep; $150 in felt). Quantity 10-20. ","Woman-Owned, 'Made In Baltimore' certified",,,,,,
10/30/2017 11:15:20,WhitePaws RunMitts,"Patented convertible mittens designed for runners by a runner. They can be used also by walkers, commuters, tailgaters and outdoor sports fans. inside each mittens is a pocket for a hand warmer to make them warmer.","Clothing, Apparel, Accessories",www.runmitts.com,"@Runmitts (twitter), whitepaws_runmitts (instagram) , WhitePaws Runmitts (FaceBook)","Runmiits 24 pairs of mittens, Red -4 small, 4 large, Black- 4 small, 4 large, Navy -2 small, 2 large, Grey - 2 small, 2 large. Each retails for $35.00 ","Woman-Owned, Minority-Owned, 'Made In Baltimore' certified",,,,,,
10/31/2017 14:50:32,Cedar & Cotton,"New, Vintage & Handmade Home Furnishings & Decor","Furniture, Home Accessories",www.cedarandcotton.com,IG: @cedarandcotton ,"Handmade pillows (Assorted), Small upholstered chairs/stools, Handmade Christmas Stockings","Woman-Owned, Minority-Owned, 'Made In Baltimore' certified",,,,,,
