"Vote Type (FOR=1,AGAINST=2)","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", CONC 012,CONC 005,CONC 004,CONC 008,CONC 013,CONC 010,CONC 006,CONC 002,CONC 011,CONC 007,CONC 009,CONC 001,CONC 003,CONC 014
1,"Donald J. Trump",REP,President - Vice Pres,,,,441,2380,882,440,562,2085,481,1188,2578,804,292,3553,1902,1026
1,"Hillary Clinton",DEM,President - Vice Pres,,Y,,9628,6675,9040,8456,8540,6655,8778,7431,11199,9873,8397,7783,8573,10019
1,"Gary Johnson",LIB,President - Vice Pres,,,,150,243,188,130,112,189,133,155,630,156,69,724,264,241
1,"Jill Stein",GRN,President - Vice Pres,,,,274,153,219,162,115,167,159,175,268,244,132,217,256,318
1,"Paij Boring",REP,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Joann Breivogel",REP,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Jacqueline Gates",REP,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Stephen McCarthy",REP,President - Vice Pres,,,Y,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,"Janet L. Reid",REP,President - Vice Pres,,,Y,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,"Paul Adams",DEM,President - Vice Pres,,,Y,0,0,1,1,0,0,0,1,1,1,0,2,0,0
1,"Cathy Johnson Pendleton",DEM,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Doug Terry",DEM,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Mary E. Thomas",DEM,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,"William E. Bowhall, Jr.",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Theodis Brown, Sr",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Darrell L. Castle",OTH,President - Vice Pres,,,Y,1,0,0,1,0,0,0,0,3,3,1,1,0,0
1,"Roque Rocky De La Fuente",OTH,President - Vice Pres,,,Y,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,"Richard Baxter Edgell",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"James Hedges",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Tom Hoefling",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Lynn Kahn",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,"Mohammed Keita",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Gloria La Riva ",OTH,President - Vice Pres,,,Y,3,0,0,0,0,0,0,0,0,0,0,2,1,1
1,"Ken Lash",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"David Librace",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Star Locke",OTH,President - Vice Pres,,,Y,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1,"Michael A. Maturen",OTH,President - Vice Pres,,,Y,1,2,1,0,0,0,2,0,1,0,0,0,2,0
1,"Evan McMullin",OTH,President - Vice Pres,,,Y,10,39,21,13,8,12,6,12,56,14,2,54,16,19
1,"Kevin  M. Moreau",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Michael S Olkowski",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Marshall Schoenke",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Joe Schriner",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Coop Smith",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Michael L. Mike Smith",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Sistah Soldjah",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,"Emidio Soltysik",OTH,President - Vice Pres,,,Y,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,"J. J. Vogel-Walcutt",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Jerry White",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Mitchell Williams",OTH,President - Vice Pres,,,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Demetra Jefferson Wysinger",OTH,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Shelia Bolar",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Michael David Boyles",UNF,President - Vice Pres,,,Y,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,"Dana E. Brown",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,"Robert Buchanan",UNF,President - Vice Pres,,,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,"Martin Carlisle",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,"Richard Duncan",UNF,President - Vice Pres,,,Y,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,"Ameer Flippin",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Cherunda Fox",UNF,President - Vice Pres,,,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Ben Hartnell",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Gerald Jennings, II",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Laurence Kotlikoff",UNF,President - Vice Pres,,,Y,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1,"Joseph A. Maldanado",UNF,President - Vice Pres,,,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Michael B. Puskar",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Maurice Symonette",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Kora Roberta Katz Vakil",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Anthony Tony J. Valdivia",UNF,President - Vice Pres,,,Y,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,"Other Write-Ins",BOT,President - Vice Pres,,,Y,97,180,120,94,70,89,70,78,201,106,70,174,115,120
1,"Kathy Szeliga",REP,U.S. Senator           ,,,,612,2099,1213,620,696,1989,691,1205,3560,977,444,4286,2088,1292
1,"Chris Van Hollen",DEM,U.S. Senator           ,,Y,,8876,7156,8626,8058,8111,6601,8351,7268,10374,9371,7940,7355,8308,9313
1,"Margaret Flowers",GRN,U.S. Senator           ,,,,865,304,459,390,340,401,394,363,736,602,345,598,601,939
1,"Jeffrey Binkins",DEM,U.S. Senator           ,,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Bob Robinson",DEM,U.S. Senator           ,,,Y,1,0,0,0,0,0,0,0,1,0,0,0,0,0
