LEGISLATIVE_CODE,Polls,EV,ABS,PROV,Eligible Voters,Percentage Turnout
01A,"7,313","1,030",317,60,"15,805",55.2%
01B,"5,809",413,198,52,"10,979",58.9%
01C,"5,620",543,219,68,"11,649",55.4%
02A,"12,858","1,292",401,132,"26,052",56.4%
02B,"2,547",336,124,32,"6,867",44.3%
03A,"6,734","1,411",382,97,"14,659",58.8%
03B,"5,438",660,149,73,"10,111",62.5%
4,"22,601","2,583",672,255,"40,941",63.8%
5,"25,206","4,224",675,244,"45,558",66.6%
6,"7,633","2,037",119,156,"17,411",57.1%
7,"20,651","4,703",419,336,"38,616",67.6%
8,"10,724","2,470",277,157,"21,830",62.4%
09A,"15,397","2,593",475,197,"27,812",67.1%
09B,"3,805","1,485",121,51,"8,269",66.1%
10,"4,485","1,264",174,70,"10,356",57.9%
11,"8,514","1,655",418,164,"17,970",59.8%
12,"8,981","1,798",338,174,"18,551",60.9%
13,"9,423","1,522",221,144,"19,008",59.5%
14,"9,656","1,575",427,191,"22,347",53.0%
15,"7,771",802,805,240,"19,235",50.0%
16,"7,717",587,625,192,"18,247",50.0%
17,"5,073",705,369,163,"14,105",44.7%
18,"4,720",552,276,121,"11,775",48.1%
19,"6,171",827,407,138,"14,881",50.7%
20,"2,333",454,156,78,"6,949",43.5%
21,"5,199","1,353",216,259,"14,234",49.4%
22,"1,841",223,102,42,"5,209",42.4%
23A,"1,504",429,77,22,"3,812",53.3%
23B,"2,924",730,132,66,"7,263",53.0%
24,849,206,76,25,"3,442",33.6%
25,750,191,75,34,"3,111",33.8%
26,"1,463",219,104,32,"4,659",39.0%
27A,"2,180",294,85,43,"4,931",52.8%
27B,"4,685",799,139,71,"9,194",61.9%
27C,"5,516","1,182",140,90,"10,995",63.0%
28,"9,841","1,496",334,153,"21,058",56.1%
29A,"5,582",910,193,66,"11,467",58.9%
29B,"3,777",435,102,50,"7,633",57.2%
29C,"6,120","1,056",282,74,"12,033",62.6%
30A,"7,608","2,552",462,214,"16,997",63.8%
30B,"5,419","1,679",191,138,"11,949",62.2%
31A,"2,514",609,58,79,"6,058",53.8%
31B,"12,041","2,516",279,218,"23,943",62.9%
32,"8,323","1,980",239,179,"19,381",55.3%
33,"19,117","5,459",693,380,"39,691",64.6%
34A,"6,193","1,340",146,136,"13,388",58.4%
34B,"6,320","1,802",206,130,"12,791",66.1%
35A,"4,488",872,126,63,"10,366",53.5%
35B,"14,949","2,881",286,201,"27,957",65.5%
36,"15,931","5,193",472,165,"34,081",63.9%
37A,"1,708",375,126,24,"4,477",49.9%
37B,"12,599","3,917",567,146,"25,664",67.1%
38A,"4,068",736,211,53,"8,023",63.2%
38B,"3,638","1,006",186,43,"8,368",58.2%
38C,"6,556","1,646",345,86,"13,548",63.7%
39,"5,182",700,268,119,"13,981",44.8%
40,"1,146",118,61,52,"4,198",32.8%
41,"1,727",330,94,45,"5,133",42.8%
42A,"3,086",564,246,91,"6,314",63.1%
42B,"13,246","1,876",485,205,"23,629",66.9%
43,"1,570",242,73,43,"4,754",40.6%
44A,258,59,23,21,"1,014",35.6%
44B,"2,954",855,116,46,"6,981",56.9%
45,"1,488",193,62,40,"4,753",37.5%
46,"3,268",412,79,173,"10,304",38.2%
47A,592,67,31,12,"2,006",35.0%
47B,209,16,11,8,791,30.8%
01A,"2,362",335,133,21,"6,526",43.7%
01B,"3,468",288,141,37,"8,157",48.2%
01C,"3,225",368,162,33,"8,590",44.1%
02A,"7,018",821,287,73,"18,375",44.6%
02B,"2,614",373,150,53,"10,026",31.8%
03A,"7,693","2,190",445,157,"20,873",50.2%
03B,"4,231",779,160,62,"9,823",53.3%
4,"11,964","1,862",377,118,"25,991",55.1%
5,"10,135","2,035",341,107,"23,674",53.3%
6,"13,773","3,708",299,286,"41,314",43.7%
7,"14,549","3,571",335,227,"34,892",53.5%
8,"16,501","3,790",408,310,"42,906",49.0%
09A,"9,536","2,375",337,123,"21,510",57.5%
09B,"4,862","2,123",189,94,"12,473",58.3%
10,"17,693","9,185",524,537,"54,910",50.9%
11,"18,932","5,304","1,050",402,"47,961",53.6%
12,"15,169","5,089",637,377,"39,193",54.3%
13,"17,029","4,406",498,410,"41,407",54.0%
14,"16,551","4,165",679,465,"47,305",46.2%
15,"13,893","2,175",859,360,"39,945",43.3%
16,"21,050","2,285","2,035",480,"50,932",50.8%
17,"13,032","2,562",933,544,"40,886",41.8%
18,"17,103","3,083","1,217",462,"45,677",47.9%
19,"15,082","3,490","1,001",442,"43,163",46.4%
20,"17,100","4,502",985,732,"50,129",46.5%
21,"13,084","3,911",498,883,"42,494",43.2%
22,"16,442","3,105",518,636,"49,722",41.6%
23A,"5,497","2,122",142,233,"17,203",46.5%
23B,"15,680","6,745",544,723,"44,720",53.0%
24,"20,797","6,825",778,741,"71,605",40.7%
25,"21,086","7,211",707,887,"70,276",42.5%
26,"22,058","7,238",623,591,"71,071",42.9%
27A,"8,202","1,917",249,198,"22,803",46.3%
27B,"6,836","1,890",240,121,"17,986",50.5%
27C,"4,959","1,165",156,75,"11,540",55.1%
28,"19,889","4,113",530,494,"51,999",48.1%
29A,"4,371",754,242,40,"10,713",50.5%
29B,"3,795",601,136,88,"9,852",46.9%
29C,"4,040",766,200,63,"9,502",53.3%
30A,"8,890","4,017",682,293,"24,217",57.3%
30B,"3,733","1,551",187,110,"10,445",53.4%
31A,"4,093","1,171",214,221,"12,625",45.1%
31B,"8,236","1,918",325,155,"21,026",50.6%
