LBE,CONGRESSIONAL_DISTRICT_CODE,LEGISLATIVE_DISTRICT_CODE,PRECINCT,PARTY,POLLS,EARLY_VOING,ABSENTEE,PROVISIONAL,ELIGIBLE_VOTERS
Allegany,06,01C,001-000,DEMOCRAT,83,9,4,1,126
Allegany,06,01C,001-000,GREEN,1,0,0,1,2
Allegany,06,01C,001-000,LIBERTARIAN,3,0,0,0,3
Allegany,06,01C,001-000,OTHER PARTIES,0,0,0,0,1
Allegany,06,01C,001-000,REPUBLICAN,273,26,12,1,384
Allegany,06,01C,001-000,UNAFFILIATED,48,4,3,0,96
Allegany,06,01C,002-000,DEMOCRAT,96,13,5,1,173
Allegany,06,01C,002-000,GREEN,2,0,0,0,2
Allegany,06,01C,002-000,LIBERTARIAN,0,0,0,0,3
Allegany,06,01C,002-000,OTHER PARTIES,1,0,0,0,3
Allegany,06,01C,002-000,REPUBLICAN,302,13,20,2,418
Allegany,06,01C,002-000,UNAFFILIATED,59,7,4,1,122
Allegany,06,01C,003-000,DEMOCRAT,103,14,6,0,166
Allegany,06,01C,003-000,GREEN,1,0,0,0,2
Allegany,06,01C,003-000,LIBERTARIAN,2,0,0,0,3
Allegany,06,01C,003-000,OTHER PARTIES,3,0,0,0,7
Allegany,06,01C,003-000,REPUBLICAN,265,33,10,6,393
Allegany,06,01C,003-000,UNAFFILIATED,64,10,4,0,121
Allegany,06,01C,004-002,DEMOCRAT,128,28,6,8,351
Allegany,06,01C,004-002,GREEN,3,0,0,0,5
Allegany,06,01C,004-002,LIBERTARIAN,0,0,0,0,6
Allegany,06,01C,004-002,OTHER PARTIES,1,0,0,0,1
Allegany,06,01C,004-002,REPUBLICAN,99,18,8,5,216
Allegany,06,01C,004-002,UNAFFILIATED,48,6,3,3,185
Allegany,06,01C,004-003,DEMOCRAT,209,40,17,7,439
Allegany,06,01C,004-003,GREEN,2,0,0,0,5
Allegany,06,01C,004-003,LIBERTARIAN,2,1,0,0,6
Allegany,06,01C,004-003,OTHER PARTIES,3,2,0,0,10
Allegany,06,01C,004-003,REPUBLICAN,201,28,20,9,406
Allegany,06,01C,004-003,UNAFFILIATED,68,6,3,1,222
Allegany,06,01C,004-004,DEMOCRAT,271,94,29,5,570
Allegany,06,01C,004-004,GREEN,3,0,0,0,5
Allegany,06,01C,004-004,LIBERTARIAN,3,2,0,0,7
Allegany,06,01C,004-004,OTHER PARTIES,4,0,1,0,7
Allegany,06,01C,004-004,REPUBLICAN,326,80,13,6,551
Allegany,06,01C,004-004,UNAFFILIATED,76,15,5,3,180
Allegany,06,01C,004-005,DEMOCRAT,140,10,8,4,287
Allegany,06,01C,004-005,GREEN,1,0,0,1,1
Allegany,06,01C,004-005,LIBERTARIAN,2,0,0,0,4
Allegany,06,01C,004-005,OTHER PARTIES,6,0,0,0,10
Allegany,06,01C,004-005,REPUBLICAN,165,18,7,4,269
Allegany,06,01C,004-005,UNAFFILIATED,75,10,2,2,172
