name,altName,precinct,zipCode,legislative,congressional,judicial,appellate,councilman,isPublic,snowRoute,Location 1
Hampstead Hill Academy,School No. 47,1,21224,46,3,8,6,1,1,Primary,"500 Linwood Avenue
Baltimore, MD
(39.28596538, -76.5758974)"
Engine House No. 5,Engine House No. 5,2,21231,46,3,8,6,1,1,Primary,"2120 Eastern Avenue
Baltimore, MD
(39.28596212, -76.58637911)"
Hampstead Hill Academy,School No. 47,3,21224,46,3,8,6,1,1,Primary,"500 Linwood Avenue
Baltimore, MD
(39.28596538, -76.5758974)"
St. Brigid's Church,St. Brigid's Church,4,21224,46,3,8,6,1,1,Primary,"900 East Avenue
Baltimore, MD
(39.28235066, -76.57136559)"
Hatton Senior Citizens Center,Hatton Senior Citizens Cen,5,21224,46,3,8,6,1,1,Secondary,"2825 Fait Avenue
Baltimore, MD
(39.28312929, -76.57598627)"
St. Michaels' Church Hall,St. Michaels' Church Hall,1,21231,46,3,8,6,1,1,Primary,"1 Wolfe Street
Baltimore, MD
(39.29129148, -76.5903272)"
General Wolfe Elementary,School No. 23,2,21231,46,3,8,6,1,1,Primary,"245 Wolfe Street
Baltimore, MD
(39.2886566, -76.59016347)"
Lemko House,Lemko House,3,21231,46,3,8,6,1,1,Primary,"603 Ann Street
Baltimore, MD
(39.28460318, -76.59121826)"
Lombard Middle,School No. 57,1,21231,46,7,8,6,1,1,Primary,"1601 Lombard St
Baltimore, MD
(39.28628727, -76.64226438)"
St. Leo's Church Hall,St. Leo's Church Hall,3,21202,46,3,8,6,1,1,Primary,"225 Exeter Street
Baltimore, MD
(39.2873401, -76.60104623)"
Charles Twin Tower Apartme,Charles Twin Tower Apartme,1,21201,46,7,8,6,11,1,Primary,"222 Charles Street
Baltimore, MD
(39.29164287, -76.6153778)"
Steadman Fire Station,Steadman Fire Station,2,21201,44,7,8,6,11,1,Primary,"15 Eutaw Street
Baltimore, MD
(39.28811284, -76.62074179)"
Murty Center-Poe Auditorium,Murty Center-Poe Auditorium,3,21201,44,7,8,6,11,1,Primary,"206 Fremont Avenue
Baltimore, MD
(39.2911959, -76.63022937)"
Pleasant View Gardens,Pleasant View Gardens,1,21202,44,7,8,6,12,1,Primary,"201 Aisquith Street
Baltimore, MD
(39.29395766, -76.60160474)"
Monument East Apartments,Monument East Apartments,2,21202,44,7,8,6,12,1,Primary,"633 Asquith Street
Baltimore, MD
(39.29777874, -76.60198884)"
William Paca Elementary,School No. 83,1,21224,46,7,8,6,13,1,Primary,"200 Lakewood Avenue
Baltimore, MD
(39.29471291, -76.5793166)"
Commodore John Rogers Elem,School No. 27,2,21231,45,7,8,6,13,1,Secondary,"100 Chester Street
Baltimore, MD
(39.29342614, -76.58763127)"
Commodore John Rogers Elem,School No. 27,3,21231,44,7,8,6,13,1,Secondary,"100 Chester Street
Baltimore, MD
(39.29342614, -76.58763127)"
Commodore John Rogers Elem,School No. 27,4,21231,46,7,8,6,1,1,Secondary,"100 Chester Street
Baltimore, MD
(39.29342614, -76.58763127)"
William Paca Elementary,School No. 83,5,21224,46,3,8,6,1,1,Primary,"200 Lakewood Avenue
Baltimore, MD
(39.29471291, -76.5793166)"
Tench Tilghman Elementary,School No. 13,2,21205,44,7,8,6,13,0,Primary,"600 Patterson Park
Baltimore, MD
(39.29763506, -76.58515914)"
Tench Tilghman Elementary,School No. 13,3,21205,45,7,8,6,13,1,Primary,"600 Patterson Park
Baltimore, MD
(39.29763506, -76.58515914)"
Bocek Playfield,Bocek Playfield,4,21205,45,7,8,6,13,1,Primary,"3000 Madison Street
Baltimore, MD
(39.30026577, -76.57494982)"
The Maryland State Boychoir Center for the Arts,The Maryland State Boychoir Center for the Arts,1,21213,45,3,8,6,3,1,Secondary,"3400 Norman Avenue
Baltimore, MD
(39.32689274, -76.5795581)"
The Maryland State Boychoir Center for the Arts,The Maryland State Boychoir Center for the Arts,2,21213,45,3,8,6,3,0,Secondary,"3400 Norman Avenue
Baltimore, MD
(39.32689274, -76.5795581)"
Catholic High School,Catholic High School,3,21213,45,7,8,6,13,0,Primary,"2800 Edison Highway
Baltimore, MD
(39.31653188, -76.5730892)"
Harford Heights Elementary,School No. 36,4,21213,45,7,8,6,14,1,Primary,"1919 Broadway
Baltimore, MD
(39.31278561, -76.5952483)"
Harford Heights Elementary,School No. 36,5,21213,45,7,8,6,12,1,Primary,"1919 Broadway
Baltimore, MD
(39.31278561, -76.5952483)"
